Region,Year,Fetal Deaths,Total Livebirths
Region 2 (Cagayan Valley),2001,132,59304
Region 3 (Central Luzon),2001,711,160314
Region 4 (Southern Tagalog),2001,2138,274120
Region 5 (Bicol),2001,574,108876
Region 6 (Western Visayas),2001,744,128618
Region 7 (Central Visayas),2001,1044,136666
Region 8 (Eastern Visayas),2001,260,81635
Region 9 (Western Mindanao),2001,202,69762
Region 10 (Northern Mindanao),2001,234,70924
Region 11 (Southern Mindanao),2001,383,103909
Region 12 (Central Mindanao),2001,161,48412
CARAGA,2001,114,39910
ARMM,2001,3,53260
